customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Churn_Probability,Segment_Name,Estimated_CLV,Retention_Action
7590-VHVEG,Female,0,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,0,0.45283538,High Value / Low Tenure (High Risk),65.917993247509,Monitor Account
5575-GNVDE,Male,0,No,No,34,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95,1889.5,0,0.011854456,Low Value / Low Tenure,4804.100864028931,Low Risk: Upsell Premium Channels
3668-QPYBK,Male,0,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,1,0.5732513,Low Value / Low Tenure,93.93786072134972,Monitor Account
7795-CFOCW,Male,0,No,No,45,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,1840.75,0,0.007597186,High Value / Low Tenure (High Risk),4230.0,Low Risk: Upsell Premium Channels
9237-HQITU,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,1,0.59780777,Low Value / Low Tenure,118.26543904542923,Monitor Account
9305-CDSKC,Female,0,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,1,0.9731983,Low Value / Low Tenure,102.39434598088265,Offer 20% discount on Annual Upgrade
1452-KIOVK,Male,0,No,Yes,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,0,0.14909698,Low Value / Low Tenure,597.5976315021514,Low Risk: Upsell Premium Channels
6713-OKOMC,Female,0,No,No,10,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,301.9,0,0.06381387,High Value / Low Tenure (High Risk),466.19958209991455,Low Risk: Upsell Premium Channels
7892-POOKP,Female,0,Yes,No,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,1,0.92293096,Low Value / Low Tenure,113.55129013061523,Offer 20% discount on Annual Upgrade
6388-TABGU,Male,0,No,Yes,62,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.15,3487.95,0,0.007646221,High Value / High Tenure,5615.0,Low Risk: Upsell Premium Channels
9763-GRSKD,Male,0,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,587.45,0,0.04825108,Low Value / Low Tenure,1035.2099581718446,Low Risk: Upsell Premium Channels
7469-LKBCI,Male,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,326.8,0,0.001941304,High Value / Low Tenure (High Risk),1895.0,Low Risk: Upsell Premium Channels
8091-TTVAX,Male,0,Yes,No,58,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.35,5681.1,0,0.31883073,High Value / High Tenure,314.74381545782086,Monitor Account
0280-XJGEX,Male,0,No,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,1,0.7146837,High Value / High Tenure,145.09915002584458,Offer 20% discount on Annual Upgrade
5129-JLPIS,Male,0,No,No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,0,0.3715248,Low Value / Low Tenure,283.9648904800415,Monitor Account
3655-SNQYZ,Female,0,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,7895.15,0,0.03601208,High Value / High Tenure,3144.7780179977417,Low Risk: Upsell Premium Channels
8191-XWSZG,Female,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,1022.95,0,0.003625175,High Value / Low Tenure (High Risk),2065.0,Low Risk: Upsell Premium Channels
9959-WOFKT,Male,0,No,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,0,0.13781208,High Value / High Tenure,774.2427297592163,Low Risk: Upsell Premium Channels
4190-MFLUW,Female,0,Yes,Yes,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,1,0.67824495,Low Value / Low Tenure,81.3865270614624,Monitor Account
4183-MYFRB,Female,0,No,No,21,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,1862.9,0,0.46200112,Low Value / Low Tenure,194.91294572353362,Monitor Account
8779-QRDMV,Male,1,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,1,0.99344724,High Value / Low Tenure (High Risk),39.91153017878532,Offer 20% discount on Annual Upgrade
1680-VDCWW,Male,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,202.25,0,0.03456803,High Value / Low Tenure (High Risk),572.7835670471192,Low Risk: Upsell Premium Channels
1066-JKSGK,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,1,0.56225854,High Value / Low Tenure (High Risk),35.83760532736778,Monitor Account
3638-WEABW,Female,0,Yes,No,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,3505.1,0,0.007161019,High Value / High Tenure,5990.0,Low Risk: Upsell Premium Channels
6322-HRPFA,Male,0,Yes,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,2970.3,0,0.16950274,High Value / High Tenure,351.61675853729247,Low Risk: Upsell Premium Channels
